team,home_altitude_m,source_note
New Zealand,0,
Nicaragua,0,
Niger,0,
Nigeria,0,
Niue,0,
North Korea,0,
North Macedonia,0,
North Vietnam,0,
Northern Cyprus,0,
Northern Ireland,0,
Northern Mariana Islands,0,
Norway,0,
Occitania,0,
Oman,0,
Orkney,0,
Padania,0,
Pakistan,0,
Palau,0,
Palestine,0,
Panama,0,
Panjab,0,
Papua New Guinea,0,
Paraguay,90,
Parishes of Jersey,0,
Peru,150,
Philippines,0,
Poland,0,
Portugal,0,
Provence,0,
Puerto Rico,0,
Qatar,0,
Quebec,0,
Raetia,0,
Republic of Ireland,0,
Republic of St. Pauli,0,
Rhodes,0,
Romani people,0,
Romania,0,
Russia,0,
Rwanda,1567,"Kigali (~1,567 m)"
Ryūkyū,0,
Réunion,0,
Saare County,0,
Saarland,0,
Saint Barthélemy,0,
Saint Helena,0,
Saint Kitts and Nevis,0,
Saint Lucia,0,
Saint Martin,0,
Saint Pierre and Miquelon,0,
Saint Vincent and the Grenadines,0,
Samoa,0,
San Marino,0,
Sark,0,
Saudi Arabia,0,
Saugeais,0,
Scotland,0,
Sealand,0,
Seborga,0,
Senegal,0,
Serbia,0,
Seychelles,0,
Shetland,0,
Sierra Leone,0,
Silesia,0,
Singapore,0,
Sint Maarten,0,
Slovakia,0,
Slovenia,0,
Solomon Islands,0,
Somalia,0,
Somaliland,0,
South Africa,1700,"Johannesburg venues (Soccer City / Ellis Park) ~1,700-1,750 m; 2010 host"
South Korea,0,
South Ossetia,0,
South Sudan,0,
South Yemen,0,
Spain,0,
Sri Lanka,0,
Sudan,0,
Suriname,0,
Surrey,0,
Sweden,0,
Switzerland,0,
Syria,0,
Székely Land,0,
Sápmi,0,
São Tomé and Príncipe,0,
Tahiti,0,
Taiwan,0,
Tajikistan,0,
Tamil Eelam,0,
Tanzania,0,
Thailand,0,
Tibet,0,
Ticino,0,
Timor-Leste,0,
Togo,0,
Tonga,0,
Trinidad and Tobago,0,
Tunisia,0,
Turkey,0,
Turkmenistan,0,
Turks and Caicos Islands,0,
Tuvalu,0,
Two Sicilies,0,
Uganda,0,
Ukraine,0,
United Arab Emirates,0,
United Koreans in Japan,0,
United States,0,
United States Virgin Islands,0,
Uruguay,40,
Uzbekistan,0,
Vanuatu,0,
Vatican City,0,
Venezuela,200,"capped at 200 per scope; Caracas is ~900 m (not in WC2026, minor effect)"
Vietnam,0,
Vietnam Republic,0,
Wales,0,
Wallis Islands and Futuna,0,
West Papua,0,
Western Armenia,0,
Western Australia,0,
Western Isles,0,
Western Sahara,0,
Yemen,2250,"Sana'a (~2,250 m); note Yemen often plays home matches abroad"
Yemen DPR,0,
Ynys Môn,0,
Yorkshire,0,
Yoruba Nation,0,
Yugoslavia,0,
Zambia,0,
Zanzibar,0,
Zimbabwe,0,
Åland Islands,0,
